0	-1	0	초코 퐁크러쉬	506	죠리퐁이 올라간 갈아만든 음료	0_copo_su.png
1	-1	0	플레인 퐁크러쉬	468	얼음을 갈아 만든 쉐이크 음료	0_ppo_su.png
2	-1	0	딸기 퐁크러쉬	536	죠리푱과자와 딸기맛 시럽	0_stpo_su.png
3	-1	0	오레오 초코 퐁 파르페	675	엄청 달달한 초코시럽과 죠리퐁 과자가 들어간 음료	0_orocopo_su.png
4	-1	0	초코 파르페 스무디	500	초콜릿 맛 진한 스무디	0_copa_su.png
5	-1	0	인절미 파르페 스무디	400	인절미 맛 스무디	0_inpa_su.png
6	-1	0	딸기 치즈 스무디	502	요거트 스무디에 치즈 추가	0_stch_su.png
7	-1	0	요거트 스무디	516	요거트 맛 음료	0_yo_su.png
8	-1	0	딸기 요거트 스무디	401	딸기 요거트 맛	0_styo_su.png
9	-1	0	망고 요거트 스무디	374	열대과일 망고	0_manyo_su.png
10	-1	0	블루베리 요거트 스무디	332	블루베리 맛 스무디	0_bluyp_su.png
11	-1	0	피치 요거트 스무디	240	달콤한 복숭아에 구름같은 요거트가 더해져 가볍고 상큼하게 즐길 수 있는 과일 블렌디드	0_peacy_su.png
12	-1	0	깔라만시 스무디	388	신 깔리만시 음료	0_cal_su.png
13	-1	0	코코넛 스무디	274	달콤한 코코넛과 커피	0_coco_su.png
14	-1	0	수박화채 스무디	425	수박 스무디 위의 과일	0_wat_su.png
15	-1	0	망고 바나나 스무디	290	달콤한 망고 패션 프루트 주스에 바나나가 들어간 신선한 블렌디드	0_manba_su.png
16	-1	1	초코칩 쉐이크	500	초코칩 들어간 쉐이크	1_cochip_sk.png
17	-1	1	초코쿠키 쉐이크	440	초코쿠키 맛 쉐이크	1_cookie_sk.png
18	-1	1	초코 쉐이크	651	진한 초코소스	1_co_sk.png
19	-1	1	아몬드 초콜릿 쉐이크	433	달달 고소한 쉐이크	1_amco_sk.png
20	-1	1	초코밀크 쉐이크	330	초코시럽에 얼음을 곱게 갈아서 달달한	1_comil_sk.png
21	-1	1	민트 초코 쉐이크	490	민트 초콜릿 맛 쉐이크	1_minco_sk.png
22	-1	1	민트 쉐이크	300	민트 초코 시럽이 들어간 쉐이크	1_min_sk.png
23	-1	1	모카 칩 쉐이크	221	커피맛 쉐이크	1_mokch_sk.png
24	-1	1	자바칩 쉐이크	340	커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 음료	1_java_sk.png
25	-1	1	화이트 초콜릿 모카 쉐이크	245	화이트 초콜릿, 커피와 우유가 조화로운 쉐이크	1_wcomo_sk.png
26	-1	1	피스타치오 쉐이크	400	피스타치오 들어간 쉐이크	1_pi_sk.png
27	-1	1	우유 쉐이크	355	우유 들어간 쉐이크	1_mil_sk.png
28	-1	1	딸기 쉐이크	450	딸기 맛 쉐이크	1_str_sk.png
29	-1	1	망고 쉐이크	258	망고맛 쉐이크	1_man_sk.png
30	-1	1	복숭아 쉐이크	255	복숭아 맛 쉐이크	1_peach_sk.png
31	-1	1	플레인 요거트 쉐이크	229	요거트맛	1_plyo_sk.png
32	-1	1	블루베리 요거트 쉐이크	290	블루베리 요거트 맛	1_bluyo_sk.png
33	-1	1	딸기 요거트 쉐이크	300	딸기 요거트 맛	1_stryo_sk.png
34	-1	1	딸기 초코 쉐이크	250	딸기 초코 달달한 맛	1_strco_sk.png
35	-1	1	요거트 쉐이크 	220	갈아만든 요거트	1_yog_sk.png
36	-1	1	카라멜 커피 쉐이크	320	카라멜 시럽 들어간 쉐이크	1_calco_sk.png
37	-1	1	녹차 쉐이크	222	쌉쌀한 녹차	1_gree_sk.png
38	-1	1	밀크티 쉐이크	340	밀크티에 얼음을 곱게 간	1_mite_sk.png
39	-1	1	카라멜 쉐이크	300	카라멜과 커피가 어우러진 쉐이크	1_cal_sk.png
40	-1	1	하와이안 코코넛 쉐이크	372	코코넛 맛 쉐이크	1_coco_sk.png
41	-1	2	레몬 에이드	123	상큼한 레몬 탄산	2_le_ade.png
42	-1	2	자몽 에이드	124	쌉쌀한 자몽 탄산	2_gra_ade.png
43	-1	2	청포도 에이드	125	달달한 청포도 탄산	2_ggrap_ade.png
44	-1	2	망고 에이드	126	달달한 망고 탄산	2_man_ade.png
45	-1	2	깔라만시 에이드	127	새콤한 깔리만시 망고 탄산	2_cal_ade.png
46	-1	2	복숭아 에이드	128	달달한 복숭아 탄산	2_pea_ade.png
47	-1	2	라임모히또 	278	상쾌한 모히또 탄산	2_lamo_ade.png
48	-1	2	블루레몬에이드	225	블루큐라소 더한 레몬 탄산	2_blu_ade.png
49	-1	2	체리콕	323	체리 탄산에 콜라추가	2_che_ade.png
50	-1	2	샤인머스캣 청포도 에이드	300	샤인머스캣청포도 맛 탄산	2_chagrp_ade.png
